monk-t-shirt,,Default,configurable,Default Category/Music,base,Monk,,,,1,Taxable Goods,"Catalog, Search",,,,,monk-t-shirt,Monk,Monk,<p>Monk and 'Train at the Five-Spot t shirt from weadmire.net.</p>,,,,,,,,,,,,,Block after Info Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mongoose-1975-t-shirt,,Default,configurable,"Default Category/Sports,Default Category/Popular Culture",base,Mongoose 1975,"<p>The Mongoose, a bike originally manufactured by BMX, were great bikes. Still are, but my favourites were from the 70s. This design celebrates them in all their retro glory.</p>",,,1,Taxable Goods,"Catalog, Search",,,,,mongoose-1975-t-shirt,Mongoose 1975,Mongoose 1975,"<p>A t-shirt admiring the great Mongoose Bikes by BMX, from We Admire.net</p>",,,,,,,,,,,,,Block after Info Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mikhail-gorbachev,,Default,configurable,Default Category/History & Politics,base,Mikhail Gorbachev,"<p><strong>Mikhail Sergeyevich Gorbachev</strong> , born 2 March 1931, was the former seventh and last General Secretary of the Communist Party of the Soviet Union, serving from 1985 until 1991, and the last head of state of the USSR, serving from 1988 until its collapse in 1991. He was the only Soviet leader to have been born after the October Revolution of 1917. In 1989, he became the first and only Soviet leader to visit China since the Sino-Soviet split in the 1960s.</p>
<p>He also received the <a href=""http://nobelprize.org/nobel_prizes/peace/laureates/1990/"" target=""_blank"">Nobel Peace Prize</a>.</p>",,,1,Taxable Goods,"Catalog, Search",,,,,mikhail-gorbachev,Mikhail Gorbachev,Mikhail Gorbachev,"<p>A t shirt admiring Nobel Peace Prize-winning Mikhail Gorbachev, from weadmire.net.</p>",,,,,,,,,,,,,Block after Info Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-jackson-t-shirt,,Default,configurable,Default Category/Music,base,Michael Jackson,"<p>The design&nbsp; illustrates Michael Jackson the &lsquo;king of pop&rsquo; as our popular culture classifies him. <br /> Jackson tabloid figure&nbsp; often got stigmatized, regardless he was probably one of the most influential music artists&nbsp; ever.<br /> Besides his&nbsp; unique voice his dance&nbsp; moves were one of his remarkable talent.<br /> My work emphasize a set of lively movements resembling his&nbsp; classic: gestures and movements.</p>",,,1,Taxable Goods,"Catalog, Search",,,,,michael-jackson-t-shirt,Michael Jackson,Michael Jackson,"<p>A t shirt admiring the King of Pop, Michael Jackson. Say no more.</p>",,,,,,,,,,,,,Block after Info Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
