edward-gibbon-t-shirt,,Default,configurable,"Default Category/Literature & Philosophy,Default Category/History & Politics",base,Edward Gibbon,"<p>Edward gibbon 1737-1794 is considered to be the father of modern historians of ancient rome. His major work - The History of the Decline and Fall of the Roman Empire - afforded him this distinction. <br /> The book has been critisized for it's treatment of the Christian church, in which Gibbon tried to&nbsp; document it as a historical institute rather than treating it as a special, supernatural case. His views aroused major backlash from christian groups and led to the banning of the book in several countries.<br /> despite this it was a major achievement of the time and it became a backbone for modern historians and still continues to be.</p>",,,1,Taxable Goods,"Catalog, Search",,,,,edward-gibbon-t-shirt,Edward Gibbon,Edward Gibbon,<p>Edward gibbon 1737-1794 is considered to be the father of modern historians of ancient rome. His major work - The History of the Decline and Fall of the Roman Empire - afforded him this distinction. Admire him with unique t-shirt.</p>,,,,,,,,,,,,,Block after Info Column
fred-astair-silhouette-t-shirt,,Default,configurable,"Default Category/Geek films,Default Category/Film",base,Fred Astaire (Silhouette),"<p>Fred Astaire is responsible for some of the greatest tap dance routines ever committed to film. Even if you`re not a fan, watching the man`s timing, sense of rhythm and ingenuity is something to behold.</p>",,,1,Taxable Goods,"Catalog, Search",,,,,fred-astaire-silhouette-t-shirt,Fred Astaire (Silhouette),Fred Astaire (Silhouette),"<p>Fred Astaire T shirt. This shirt can be found under our film category. Dancing, singing. Partnered with Ginger Rogers. Films include Top Hat and That's Entertainment.</p>",,,,,,,,,,,,,Block after Info Column
ganesha-t-shirt,,Default,configurable,"Default Category/Arts & Culture,Default Category/Popular Culture",base,Ganesha,"<p>This t-shirt design admires <a href=""http://en.wikipedia.org/wiki/Ganesha"" target=""_blank"">Ganesha</a> , (also known as Ganesh, Ganesa, Ganapati, Vinayaka &amp; Pillaiyer).</p>
<p>One of the world's most popular gods. He is worshipped mainly by the Hindu's, Ganesh rose in popularity during the Indian Gupta period in the 4th &amp; 5th centuries AD, but it actually first appeared in Sri Lanka in the 1st century AD around Mihintale, which is a mountain peak strongly associated with the birth of buddhism within Sri Lanka believe it or not!</p>
<p>Where Ganesh came from we may never know, but he is many peoples favourite deity, including mine, I hope you like my t-shirt design.</p>",,,1,Taxable Goods,"Catalog, Search",,,,,ganesha-t-shirt,Ganesha,Ganesha,"<p>This design admires <a href=""http://en.wikipedia.org/wiki/Ganesha"" target=""_blank"">Ganesha</a> , (also known as Ganesh, Ganesa, Ganapati, Vinayaka &amp; Pillaiyer). From weadmire.net.</p>",,,,,,,,,,,,,Block after Info Column
