stephen-stills,,Default,configurable,Default Category/Music,base,Stephen Stills,"<p>Ranked No. 28 in Rolling Stone magazine&rsquo;s top 100 guitarists of all time, Stephen Stills heady mix of Blues, Rock, County, Latin and Folk has been pretty much a constant soundtrack in my life ever since the first time I heard him aged 16.</p>
<p>One third of the west coast supergroup CSN and a hugely successful solo career for more than 40 years, Stills continues to tour and is in London this summer&hellip;.be sure to check him out!</p>",,,1,Taxable Goods,"Catalog, Search",,,,,stephen-stills,Stephen Stills,Stephen Stills,"<p>Ranked No. 28 in Rolling Stone magazine&rsquo;s top 100 guitarists of all time, Stephen Stills heady mix of Blues, Rock, County, Latin and Folk has been pretty much a constant soundtrack in my life ever since the first time I heard him aged 16. Wear him with pride From weadmire.net.</p>",,,,,,,,,,,,,Block after Info Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenzing-norgay-compass-t-shirt,,Default,configurable,"Default Category/Climbing,Default Category/Sports,Default Category/History & Politics",base,Tenzing Norgay (Compass),"<p>Tenzing Norgay, the first to reach the summit of Mount Everest (With Sir Edmund Hillary&nbsp;on 29th May 1953).&nbsp;Before he reached the top, he had probably spent more time on Mt. Everest than any other human being. Unlike most of his fellow Sherpas of the time for whom, by and large, climbing was just a challenging way of making a living, Tenzing desperately wanted to get to the summit of Mt. Everest and devoted most of his life to this goal. If there was ever anyone who deserved to get there first, it was Tenzing.</p>
<p>This design shows a compass representing Tenzing, he was the guide, he knew the directions and without him Edmund would surely never have made it.</p>",,,1,Taxable Goods,"Catalog, Search",,,,,tenzing-norgay-compass-t-shirt,Tenzing Norgay (Compass),Tenzing Norgay (Compass),"<p>This design shows a compass representing Tenzing Norgay, he was the guide, he knew the directions and without him Edmund would surely never have made it. Admire him with this t shirt from weadmire.net.</p>",,,,,,,,,,,,,Block after Info Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenzing-norgay-silhouette-t-shirt,,Default,configurable,"Default Category/Climbing,Default Category/History & Politics,Default Category/Popular Culture",base,Tenzing Norgay (Silhouette),"<p>Tenzing Norgay, the first to reach the summit of Mount Everest (With Sir Edmund Hillary&nbsp;on 29th May 1953).&nbsp;Before he reached the top, he had probably spent more time on Mt. Everest than any other human being. Unlike most of his fellow Sherpas of the time for whom, by and large, climbing was just a challenging way of making a living, Tenzing desperately wanted to get to the summit of Mt. Everest and devoted most of his life to this goal. If there was ever anyone who deserved to get there first, it was Tenzing.</p>
<p>This design shows a silhouette of Tenzing at the very top of Mount Everest. It is from a famous photograph taken by Sir Edmund himself on the 29th May 1953.</p>",,,1,Taxable Goods,"Catalog, Search",,,,,tenzing-norgay-silhouette-t-shirt,Tenzing Norgay (Silhouette),Tenzing Norgay (Silhouette),<p>This design shows a silhouette of Tenzing Norgay at the very top of Mount Everest. It is from a famous photograph taken by Sir Edmund himself on the 29th May 1953. Show him some admiration with this t shirt from weadmire.net.</p>,,,,,,,,,,,,,Block after Info Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wg-grace-t-shirt,,Default,configurable,Default Category/Sports,base,WG Grace,"<p>This t-shirt design admires one of the greatest cricketers of all time, and had a huge influence on the game and the development of modern cricket tactics.</p>
<p>WG Grace (William Gilbert Grace) was an amateur cricketer (and a Doctor by profession) who played a record 44 seasons between 1865 and 1908.<br /> He captained the England team, the Gloucestershire County, the Gentlemen MCC, the United South of England 11 and several other teams.<br /> He was also a champion 440 yard hurdler, an accomplished golfer, lawn bowler and footballer (playing for the Wanderers).</p>
<p>His cricket stats are quite impressive, playing 898 matches, he scored almost 56,000 runs. <br /> There is much to tell about WG Grace, you can read all about him here.<br /> The design includes a sketch of WG with his trademark beard, hat and belly - and also his impressive stats and the word Champion, which is one of his nicknames.</p>",,,1,Taxable Goods,"Catalog, Search",,,,,wg-grace-t-shirt,WG Grace,WG Grace,"<p>This t-shirt design admires one of the greatest cricketers of all time, and had a huge influence on the game and the development of modern cricket tactics. WG Grace (William Gilbert Grace) was an amateur cricketer (and a Doctor by profession) who played a record 44 seasons between 1865 and 1908.<br /> He captained the England team, the Gloucestershire County, the Gentlemen MCC, the United South of England 11 and several other teams.<br /> He was also a champion 440 yard hurdler, an accomplished golfer, lawn bowler and footballer (playing for the Wanderers).</p>
<p>Show your admiration for him with this t shirt from weadmire.net.</p>",,,,,,,,,,,,,Block after Info Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
