michael-jackson-king-t-shirt,,Default,configurable,Default Category/Music,base,Michael Jackson (King),"<p>Whatever you think of Michael Jackson as a person, his immense talent can never be called into question. Although his life was always rife with speculation, hype and rumour, the music that he has left as his legacy will always be remembered. Almost every singe track that Jackson released was a classic, and his videos and live performances were some of the best ever created. The video below shows Jackson at arguably the peak of his powers, in the classic hit, Thriller. It&rsquo;s a phenomenal piece of work and even if you don&rsquo;t like the music, there&rsquo;s a Vincent Price cameo; happy days!</p>",,,1,Taxable Goods,"Catalog, Search",,,,,michael-jackson-king-t-shirt,Michael Jackson (King),Michael Jackson (King),"<p>Almost every singe track that Michael Jackson released was a classic, and his videos and live performances were some of the best ever created.Admire him here with this t shirt from weadmire.net.</p>",,,,,,,,,,,,,Block after Info Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marvin-hagler-t-shirt,,Default,configurable,Default Category/Sports,base,Marvin Hagler,<p>A kind of meta-t-shirt celebrating the great boxer 'Marvellous' Marvin Hagler.</p>,,,0,Taxable Goods,"Catalog, Search",,,,,marvin-hagler-t-shirt,Marvin Hagler,Marvin Hagler,<p>A kind of meta-t-shirt celebrating the great boxer 'Marvellous' Marvin Hagler.</p>,,,,,,,,,,,,,Block after Info Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marvin-gaye-hood-t-shirt,,Default,configurable,Default Category/Music,base,Marvin Gaye (Hood),"<p>I have probably listened to at least one Marvin Gaye song every day since discovering his music in my Dad&rsquo;s record collection when I was a teenager.<br /> A deeply troubled soul, half spiritual preacher half cocaine fuelled sex machine, His death by the hand of his father in 1984 aged just 44 robbed the world of one of the most beautiful voices.</p>",,,1,Taxable Goods,"Catalog, Search",,,,,marvin-gaye-hood-t-shirt,Marvin Gaye (Hood),Marvin Gaye (Hood),"<p>A t-shirt celebrating Marvin Gaye, the 'sweetest soul voice' there ever was. Show him some love.</p>",,,,,,,,,,,,,Block after Info Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
martin-luther-king-t-shirt,,Default,configurable,"Default Category/History & Politics,Default Category/History,Default Category/politics",base,Martin Luther King,"<p>This design admires Martin Luther King.<br /> &nbsp;<br /> The design is a collage of headlines about the work of Dr Martin Luther King the American activist, clergyman and the prominent leader in the African-American civil rights movement, his assassination and also how his legacy continued to live on after his death.&nbsp; In 1963 Martin Luther King led the March on Washington delivering his iconic &ldquo;I have a dream&rdquo; speech and in 1964 became the youngest person in history to receive the Nobel Peace Prize.</p>",,,1,Taxable Goods,"Catalog, Search",,,,,martin-luther-king-t-shirt,Martin Luther King,Martin Luther King,"<p>This design admires Martin Luther King, who in 1964 became the youngest person in history to receive the Nobel Peace Prize. Great man. Wear the shirt and show your admiration.</p>",,,,,,,,,,,,,Block after Info Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
